cluster_id,character,malePercent,femalePercent,nonbinaryPercent,significant,pValue,size,x_nose,y_nose,x_neck,y_neck,x_lshoulder,y_lshoulder,x_rshoulder,y_rshoulder,x_lelbow,y_lelbow,x_relbow,y_relbow,x_lwrist,y_lwrist,x_rwrist,y_rwrist,x_midhip,y_midhip,x_lhip,y_lhip,x_rhip,y_rhip,x_lknee,y_lknee,x_rknee,y_rknee,x_lankle,y_lankle,x_rankle,y_rankle,x_bigtoe,y_bigtoe,x_rbigtoe,y_rbigtoe
118,neutral,26.9,69.2,3.8,0,0.21883989963694603,26,0.112888,-0.381418,0.110138,-0.305614,0.178337,-0.306114,0.041440,-0.304203,0.208348,-0.202122,0.029285,-0.192731,0.170662,-0.149624,0.088479,-0.136295,0.115656,-0.128112,0.159076,-0.131457,0.071250,-0.127095,0.233044,-0.139333,0.020371,-0.122823,0.086012,-0.033125,0.181021,-0.034786,0.033499,-0.010415,0.250384,-0.016452
119,neutral,28.0,70.5,1.5,0,0.00015907266184788025,132,0.040332,-0.375064,0.051770,-0.333802,0.080208,-0.333098,0.023555,-0.334932,0.079422,-0.273864,0.010030,-0.279733,0.034681,-0.283353,0.012329,-0.267646,0.043465,-0.216434,0.062453,-0.215162,0.024778,-0.217431,0.057806,-0.122108,0.028316,-0.126185,0.067083,-0.029911,0.042324,-0.044398,0.045919,-0.002129,0.020060,-0.021658
120,neutral,24.6,70.5,4.9,0,0.011611387048348416,61,0.055024,-0.317600,0.054262,-0.287798,0.079097,-0.287252,0.028310,-0.288235,0.101433,-0.313756,0.007600,-0.323008,0.088406,-0.347835,0.022507,-0.356789,0.054389,-0.187464,0.072586,-0.187380,0.035684,-0.187339,0.073852,-0.105963,0.037179,-0.107278,0.070406,-0.029704,0.036698,-0.031534,0.068166,-0.006075,0.036061,-0.009149
121,neutral,25.7,70.9,3.4,0,3.345581871393971e-05,148,0.049163,-0.360802,0.048906,-0.323422,0.081032,-0.323011,0.016671,-0.323598,0.094695,-0.275347,0.003931,-0.272733,0.077584,-0.314689,0.022988,-0.308442,0.047525,-0.207331,0.068845,-0.206932,0.025547,-0.207790,0.066552,-0.115571,0.026238,-0.115364,0.063124,-0.031273,0.026817,-0.030710,0.061871,-0.005753,0.026113,-0.004608
122,feminine,24.2,71.1,4.7,1,9.029425879677477e-15,422,0.060680,-0.390124,0.061390,-0.341681,0.100458,-0.340536,0.022183,-0.343223,0.114774,-0.275440,0.004858,-0.278195,0.110004,-0.219934,0.003292,-0.222595,0.056569,-0.216410,0.081134,-0.215414,0.031672,-0.217155,0.074873,-0.120435,0.033360,-0.121621,0.068006,-0.030331,0.039566,-0.033025,0.062009,-0.003086,0.036058,-0.004816
123,neutral,24.1,71.3,4.6,0,0.001213211163430259,87,0.103301,-0.338839,0.103542,-0.299799,0.136927,-0.299858,0.070398,-0.300172,0.167739,-0.257695,0.037106,-0.259899,0.195538,-0.247525,0.000187,-0.251391,0.103545,-0.191546,0.124194,-0.191461,0.082442,-0.191563,0.117995,-0.108694,0.090981,-0.107845,0.110227,-0.035114,0.101993,-0.035393,0.107732,-0.008441,0.104569,-0.008061
124,neutral,23.9,71.6,4.5,0,0.004844949402898271,67,0.102780,-0.353209,0.099184,-0.313630,0.133232,-0.312191,0.063594,-0.315089,0.153951,-0.268586,0.044919,-0.256779,0.142269,-0.296247,0.044425,-0.210380,0.091044,-0.202772,0.113523,-0.201305,0.067427,-0.203896,0.108557,-0.118199,0.042381,-0.120973,0.097963,-0.034157,0.021243,-0.034460,0.093744,-0.008612,0.003369,-0.006097
125,feminine,25.3,71.8,2.9,1,2.8475325878551124e-06,170,0.062250,-0.383898,0.062512,-0.338002,0.099798,-0.338756,0.024899,-0.337576,0.116398,-0.278706,0.008254,-0.274371,0.115391,-0.232033,0.011611,-0.223447,0.060546,-0.216676,0.083489,-0.215931,0.037033,-0.216935,0.070769,-0.122195,0.046881,-0.123508,0.027408,-0.045671,0.059756,-0.031393,0.019987,-0.011984,0.066684,-0.002786
126,neutral,25.9,72.3,1.8,0,0.00013553008756064913,112,0.076621,-0.369106,0.074829,-0.326578,0.111717,-0.325469,0.037628,-0.328086,0.132591,-0.268554,0.011080,-0.273437,0.126581,-0.230194,0.014322,-0.238961,0.073461,-0.208550,0.096383,-0.208282,0.050413,-0.208741,0.082631,-0.121996,0.065384,-0.121873,0.064552,-0.030958,0.098791,-0.042344,0.056207,-0.004153,0.107579,-0.012357
127,neutral,23.3,72.6,4.1,0,0.0019278650274313594,73,0.071355,-0.346522,0.076189,-0.307715,0.108796,-0.306476,0.043822,-0.308748,0.124351,-0.250453,0.005057,-0.304369,0.121857,-0.208162,0.020895,-0.342735,0.080344,-0.194577,0.102203,-0.194840,0.058968,-0.194332,0.109573,-0.111497,0.066525,-0.108912,0.113020,-0.037298,0.080706,-0.031374,0.113408,-0.010804,0.078793,-0.006654
128,neutral,24.7,72.9,2.4,0,0.0007858313799182678,85,0.072456,-0.340396,0.073058,-0.307297,0.105137,-0.305460,0.041003,-0.308995,0.134318,-0.276497,0.009099,-0.283962,0.118960,-0.317021,0.027338,-0.319729,0.067125,-0.195069,0.089633,-0.193728,0.045208,-0.196149,0.085957,-0.109415,0.033153,-0.112684,0.084308,-0.027141,0.030255,-0.032955,0.077463,-0.002994,0.020026,-0.007382
129,feminine,22.7,73.8,3.5,1,9.874465986303347e-08,172,0.046752,-0.374767,0.050098,-0.332552,0.083564,-0.331039,0.016687,-0.334248,0.095736,-0.269837,0.005586,-0.281239,0.092758,-0.219686,0.019713,-0.313780,0.045954,-0.216277,0.067702,-0.215378,0.023894,-0.217186,0.062687,-0.123120,0.024345,-0.123821,0.058812,-0.037995,0.027667,-0.038339,0.055946,-0.009769,0.024433,-0.009000
130,neutral,19.0,74.6,6.3,0,0.0004575183698003581,63,0.089730,-0.364506,0.094309,-0.321551,0.118436,-0.321538,0.069515,-0.321495,0.132585,-0.262667,0.054314,-0.267821,0.132683,-0.232130,0.048560,-0.240201,0.087030,-0.203052,0.098900,-0.202151,0.075329,-0.203498,0.061837,-0.117013,0.097486,-0.115611,0.028094,-0.028329,0.115035,-0.025544,0.005693,-0.006067,0.109024,-0.007236
